"","loc_tag","inout","lat","long"
"109","STAR LAB BETHANY","outside",45.535187,-122.84196
"110","STAR Lab Creston Kenilworth","outside",45.495123,-122.63858
"111","STAR Lab Homestead Neighborhood","outside",45.500185,-122.692895
"112","Sunset Lab 1","outside",45.446804,-122.787652
"113","SW Palatine Street","outside",45.444115,-122.721797
"114","Tillamook Row 2","inside",45.537641,-122.665801
"115","Tudor Lane","outside",45.537471,-122.785847
"116","Upper Multnomah Inside","inside",45.474068,-122.704981
"117","Upper Multnomah Village","outside",45.474005,-122.70476
"118","Vancouver Heights-Northgate","outside",45.620108,-122.579401
"119","Vernon","inside",45.563178,-122.644729
"120","Vernon Neighborhood","outside",45.564496,-122.646955
"121","Vista","outside",45.533042,-122.682259
"122","Water Tower","outside",45.452957,-122.621551
"123","Woods Park","outside",45.455392,-122.720988
"124","Yeon 15","inside",45.519667,-122.676949
